class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Amazon	320	640	0	441	10	9	339	626	122	382	29	29	333	388	5	117	55	112	453	509	3	85	56	82	574	629	4	116	55	112	394	448	5	56	54	51	410	433	64	88	23	24	395	418	92	116	23	24	424	447	92	116	23	24	453	505	92	117	52	25	513	567	65	117	54	52	513	567	3	56	54	53
Sorceress	320	640	0	441	10	9	339	626	122	382	29	29	333	388	5	117	55	112	453	509	3	85	56	82	574	629	4	116	55	112	394	448	5	56	54	51	410	433	64	88	23	24	395	418	92	116	23	24	424	447	92	116	23	24	453	505	92	117	52	25	513	567	65	117	54	52	513	567	3	56	54	53
Necromancer	320	640	0	441	10	9	339	626	122	382	29	29	333	388	5	117	55	112	453	509	3	85	56	82	574	629	4	116	55	112	394	448	5	56	54	51	410	433	64	88	23	24	395	418	92	116	23	24	424	447	92	116	23	24	453	505	92	117	52	25	513	567	65	117	54	52	513	567	3	56	54	53
Paladin	320	640	0	441	10	9	339	626	122	382	29	29	333	388	5	117	55	112	453	509	3	85	56	82	574	629	4	116	55	112	394	448	5	56	54	51	410	433	64	88	23	24	395	418	92	116	23	24	424	447	92	116	23	24	453	505	92	117	52	25	513	567	65	117	54	52	513	567	3	56	54	53
Barbarian	320	640	0	441	10	9	339	626	122	382	29	29	333	388	5	117	55	112	453	509	3	85	56	82	574	629	4	116	55	112	394	448	5	56	54	51	410	433	64	88	23	24	395	418	92	116	23	24	424	447	92	116	23	24	453	505	92	117	52	25	513	567	65	117	54	52	513	567	3	56	54	53
Monster	0	321	0	442	10	10	16	305	63	352	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1	0	321	0	219	10	4	20	305	41	148	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2	0	321	220	442	10	4	20	305	255	368	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	6	4	74	244	273	386	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	3	4	118	205	139	253	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
