*desc	enabled	page	x	y	color	font	statID	end
item_allskills	1	2	25	445	4	1	127	0
item_magicbonus	1	1	25	445	4	1	80	0
item_goldbonus	1	1	25	430	4	1	79	0
item_addexperience	1	1	25	415	4	1	85	0
item_reducedprices	1	1	25	400	4	1	87	0
item_fastercastrate	1	1	25	385	9	1	105	0
item_fasterattackrate	1	1	25	370	9	1	93	0
item_fastergethitrate	1	1	25	355	9	1	99	0
item_fastermovevelocity	1	1	25	340	9	1	96	0
lifedrainmindam	1	1	25	325	1	1	60	0
manadrainmindam	1	1	25	310	3	1	62	0
item_openwounds	1	1	25	265	8	1	135	0
item_crushingblow	1	1	25	250	8	1	136	0
item_deadlystrike	1	1	25	235	8	1	141	0
item_freeze	1	1	25	160	3	1	134	0
item_stupidity	1	1	25	145		1	113	0
item_howl	1	1	25	130		1	112	0
item_slow	1	1	25	115		1	150	0
item_absorbmagic_percent	1	2	25	145	11	1	146	0
item_demondamage_percent	1	1	25	220	1	1	121	0
item_undeaddamage_percent	1	1	25	205	1	1	122	0
item_demon_tohit	1	1	25	190	1	1	123	0
item_undead_tohit	1	1	25	175	1	1	124	0
item_lightradius	1	2	25	355	7	1	89	0
damageresist	1	2	25	340	5	1	36	0
normal_damage_reduction	1	2	25	325	5	1	34	0
magic_damage_reduction	1	2	25	310	11	1	35	0
item_attackertakesdamage	1	2	25	295		1	78	0
item_attackertakeslightdamage	1	2	25	280	9	1	128	0
magicresist	1	2	25	175	11	1	37	0
curse_resistance	1	2	25	115	12	1	109	0
item_manaafterkill	1	2	25	265	3	1	138	0
item_damagetomana	1	2	25	250	3	1	114	0
manarecoverybonus	1	1	25	280	3	1	27	0
hpregen	1	1	25	295	1	1	74	0
item_absorbmagic	1	2	25	130	11	1	147	0
fireresist	1	3	25	445	1	1	39	0
coldresist	1	3	25	430	3	1	43	0
lightresist	1	3	25	415	9	1	41	0
poisonresist	1	3	25	400	2	1	45	0
maxfireresist	1	3	25	385	1	1	40	0
maxcoldresist	1	3	25	370	3	1	44	0
maxlightresist	1	3	25	355	9	1	42	0
maxpoisonresist	1	3	25	340	2	1	46	0
item_absorbfire_percent	1	3	25	325	1	1	142	0
item_absorbcold_percent	1	3	25	310	3	1	148	0
item_absorblight_percent	1	3	25	295	9	1	144	0
item_poisonlengthresist	1	3	25	280	2	1	110	0
item_absorbfire_percent	1	3	25	265	1	1	143	0
item_absorbcold_percent	1	3	25	250	3	1	149	0
item_absorblight_percent	1	3	25	235	9	1	145	0
passive_fire_mastery	1	3	25	220	1	1	329	0
passive_cold_mastery	1	3	25	205	3	1	331	0
passive_ltng_mastery	1	3	25	190	9	1	330	0
passive_pois_mastery	1	3	25	175	2	1	332	0
passive_fire_pierce	1	3	25	160	1	1	333	0
passive_cold_pierce	1	3	25	145	3	1	335	0
passive_ltng_pierce	1	3	25	130	9	1	334	0
passive_pois_pierce	1	3	25	115	2	1	336	0
item_elemskillfire	1	2	25	430	1	1	364	0
item_elemskillcold	1	2	25	415	3	1	360	0
item_elemskilllight	1	2	25	400	9	1	361	0
item_elemskillpoison	1	2	25	385	2	1	362	0
item_elemskillmagic	1	2	25	370	11	1	363	0
armorclass_vs_missile	1	2	25	235	5	1	32	0
armorclass_vs_hth	1	2	25	220	5	1	33	0
item_damagetargetac	1	2	25	205	5	1	120	0
item_fractionaltargetac	1	2	25	190	5	1	116	0
maxmagicresist	1	2	25	160	11	1	38	0
